"","X","species","SVL","count","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus","hab.cat"
"1160",1160,"Mantidactylus delormei",39.0096903414093,NA,1,1.16279756099999,152.055600648824,-21.9553001738238,-22.7768873678707,"VU","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1161",1161,"Mantidactylus femoralis",55.000916642542,34,4,12.754724151,1462.44396250709,-16.1372270008743,-25.18738123836,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1162",1162,"Mantidactylus grandidieri",56.4010965967085,1,1,10.74855423,1264.21529029855,-19.200518169084,-25.2224206590839,"LC","ANURA","MANTELLIDAE","Mantidactylus",NA
"1163",1163,"Mantidactylus guttulatus",110.006546513671,NA,3,9.22295093600002,1050.64862032641,-16.8662771427279,-21.8814240848832,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1164",1164,"Mantidactylus lugubris",37.5050041936059,5,4,10.88427865,1264.21529029855,-16.9808982530373,-24.3607868048549,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1165",1165,"Mantidactylus madecassus",30.0040878672479,NA,1,0.608898007999983,111.323871569685,-23.1699971381824,-23.3174829443172,"EN","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1166",1166,"Mantidactylus majori",43.9939882264845,27,3,10.528032063,1264.21529029855,-22.3758903572679,-24.5391532529332,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1167",1167,"Mantidactylus melanopleura",35.7769327501021,13,3,10.500244853,1156.47642158225,-18.1727753998213,-24.7552014581859,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1168",1168,"Mantidactylus mocquardi",66.9924704238167,6,NA,11.124972343,1264.21529029855,-19.4219037600234,-25.0608956962824,"LC","ANURA","MANTELLIDAE","Mantidactylus","high"
"1169",1169,"Mantidactylus noralottae",35.9909380058432,NA,1,0.562253908999992,111.323871569685,-22.3517369588984,-23.2679480121471,"VU","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1170",1170,"Mantidactylus opiparis",33.001956584393,16,4,7.62999484400001,841.749737797564,-17.5969301514759,-21.4483293640614,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1171",1171,"Mantidactylus pauliani",28.528612468699,NA,NA,0.035226826999974,0,-19.5073589398712,-19.9467511292361,"CR","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1172",1172,"Mantidactylus tricinctus",19.9965106725832,11,3,5.25016184700002,566.165549381853,-22.8837438777174,-24.0391288339719,"DD","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1173",1173,"Mantidactylus ulcerosus",36.2801394930761,3,4,12.299533845,494.485836280503,-15.382579704065,-15.7434329848364,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1174",1174,"Mantidactylus zipperi",26.3730767075066,NA,3,3.84560989300002,491.971435882914,-20.1604362332911,-22.3352076232061,"LC","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1175",1175,"Mantidactylus zolitschka",32.9930990479328,3,2,0.174617205000004,105.258646865668,-18.3307170581396,-18.3951637851819,"DD","ANURA","MANTELLIDAE","Mantidactylus","highlow"
"1176",1176,"Megastomatohyla mixomaculata",34.9912602900295,NA,1,1.12941872599998,111.323871569644,18.5625962106042,18.1942849771865,"EN","ANURA","HYLIDAE","Megastomatohyla","high"
"1177",1177,"Megophrys montana",101.490932113477,16,1,1.68358500300002,999.531365690485,-6.52960772638269,-8.8276025811024,"LC","ANURA","MEGOPHRYIDAE","Megophrys","highlow"
"1178",1178,"Melanophryniscus admirabilis",34.9955294429278,NA,1,0.05638185600003,0,-29.6144554463588,-29.79793822309,"CR","ANURA","BUFONIDAE","Melanophryniscus","highlow"
"1179",1179,"Melanophryniscus atroluteus",22.5005846097227,NA,1,7.14024958200002,974.967120917036,-29.8530716485605,-33.899372090213,"LC","ANURA","BUFONIDAE","Melanophryniscus","low"
"1180",1180,"Melanophryniscus devincenzii",24.5008843698958,NA,1,5.07317893999999,674.852468730491,-27.6599793045654,-32.7873571223952,"EN","ANURA","BUFONIDAE","Melanophryniscus","highlow"
"1181",1181,"Melanophryniscus montevidensis",23.2734352497617,NA,3,1.71307374600002,355.257519250928,-34.2239023941469,-35.675346258115,"VU","ANURA","BUFONIDAE","Melanophryniscus","low"
"1182",1182,"Melanophryniscus orejasmirandai",26.9969571350096,NA,3,0.158464329000026,9.50453877449036e-05,-34.808010667935,-35.7953054288588,"VU","ANURA","BUFONIDAE","Melanophryniscus","highlow"
"1183",1183,"Melanophryniscus sanmartini",22.4964961253759,NA,3,3.88936050400002,454.969042156849,-34.3070090483942,-35.4196596910432,"NT","ANURA","BUFONIDAE","Melanophryniscus","highlow"
"1184",1184,"Mercurana myristicapalustris",50.5991162849218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185",1185,"Meristogenys amoropalamus",48.2913900131173,NA,3,2.37477232599997,314.264747851814,5.39548465193208,3.46628755394369,"VU","ANURA","RANIDAE","Meristogenys","highlow"
"1186",1186,"Meristogenys macrophthalmus",37.7936285082577,NA,NA,0.250529698000037,111.171302207721,2.96857875834097,2.14073277404532,"DD","ANURA","RANIDAE","Meristogenys","highlow"
"1187",1187,"Meristogenys orphnocnemis",48.7897617724212,NA,4,2.87903027200002,400.801806457122,5.91698001332157,4.52581963099539,"LC","ANURA","RANIDAE","Meristogenys","highlow"
"1188",1188,"Mertensophryne anotis",45.009349770071,NA,3,0.620930312999974,152.530785480602,-19.4046337716737,-20.1499011916853,"EN","ANURA","BUFONIDAE","Mertensophryne",NA
"1189",1189,"Mertensophryne lindneri",28.4965926602669,NA,1,11.722233794,1353.57491273771,-10.9098586319766,-17.4200641875714,"LC","ANURA","BUFONIDAE","Mertensophryne","highlow"
"1190",1190,"Mertensophryne loveridgei",38.0085290559707,NA,3,2.26238984399998,492.93466881417,-9.48169492714483,-11.1463940165192,"LC","ANURA","BUFONIDAE","Mertensophryne","low"
"1191",1191,"Mertensophryne micranotis",23.9961493065301,NA,3,7.09709799200004,801.301193113191,-5.97474278334003,-11.0100438525155,"LC","ANURA","BUFONIDAE","Mertensophryne",NA
